Overall Rank,City,State,City/State,Total Score,Emotional & Physical Well-Being,Income & Employment ,Community & Environment,Recreational,Medical,Bars Average Yelp Rating,Bars Count of Reviews,Bar Count,Cannabis Shop Average Yelp Rating,Cannabis Shop Count of Reviews,Cannabis Shop Count
169,Cincinnati,OH,"Cincinnati, OH",43.5,165,145,162,decriminalized,legal,4.24,14930.0,50.0,,,
170,Fort Smith,AR,"Fort Smith, AR",43.33,176,135,136,Illegal,legal,3.763157894736842,529.0,19.0,,,
171,Saint Louis,MO,"Saint Louis, MO",42.85,162,170,160,decriminalized,legal,4.074468085106383,14664.0,47.0,,,
172,Augusta,GA,"Augusta, GA",42.38,175,163,106,decriminalized,CBD oil,3.7083333333333335,4079.0,48.0,,,
173,Mobile,AL,"Mobile, AL",42.22,172,174,135,misdemeanor,illegal,3.8877551020408165,2767.0,49.0,,,
174,Newark,NJ,"Newark, NJ",41.86,141,182,180,illegal,legal,3.8055555555555554,5416.0,36.0,,,
175,Huntington,WV,"Huntington, WV",41.58,182,51,18,misdemeanor,legal,3.9523809523809526,762.0,21.0,,,
176,Little Rock,AR,"Little Rock, AR",41.4,178,130,101,Illegal,legal,3.75,3853.0,44.0,,,
177,Gulfport,MS,"Gulfport, MS",41.06,179,162,94,decriminalized,CBD oil,3.325,838.0,20.0,,,
178,Cleveland,OH,"Cleveland, OH",40.81,163,180,164,decriminalized,legal,4.14,14705.0,50.0,,,
179,Birmingham,AL,"Birmingham, AL",40.78,173,167,163,misdemeanor,illegal,4.15625,8650.0,48.0,,,
180,Charleston,WV,"Charleston, WV",39.68,180,65,93,misdemeanor,legal,3.9375,27578.0,72.0,,,
181,Toledo,OH,"Toledo, OH",39.48,177,171,148,decriminalized,legal,3.607142857142857,2303.0,42.0,,,
182,Detroit,MI,"Detroit, MI",29.19,181,181,181,legal,legal,4.06,20713.0,50.0,4.0,7.0,3.0
