Address,Category 0,Category 1,Category 2,Category 3,City,Distance,Name,Out of Business,Price,Rating,Review Count,State,Top-Bottom
605 Beechwood St,Tapas Bars,American (New),Wine Bars,,Little Rock,3132.3693575851617,Ciao Baci,False,$$,4.5,70,AR,2.5 Mile Radius
310 Main St,Italian,Cocktail Bars,Seafood,,Little Rock,7813.377388550035,Bruno's Little Italy,False,$$,4.0,126,AR,5 Mile Radius
5923 Kavanaugh Blvd,Mexican,Bars,,,Little Rock,2843.3752505354983,Baja Grill,False,$$,4.0,78,AR,2.5 Mile Radius
109 Main St,Cocktail Bars,Lounges,Speakeasies,,Little Rock,7893.153745735426,109 & Co,False,$$,4.0,66,AR,5 Mile Radius
16001 Chenal Pkwy,Tex-Mex,Mexican,Bars,,Little Rock,8257.231950604615,Chuy's,False,$$,3.5,108,AR,7.5 Mile Radius
11525 Cantrell Rd,Seafood,American (New),Cocktail Bars,,Little Rock,6436.649444206115,Bonefish Grill,False,$$,4.0,78,AR,5 Mile Radius
107 River Market Ave,Bars,American (Traditional),,,Little Rock,8306.192328539357,Sticky'z Rock'n'Roll Chicken Shack,False,$$,3.5,128,AR,7.5 Mile Radius
3519 Old Cantrell Rd,American (New),Cocktail Bars,Sandwiches,,Little Rock,4472.834524742751,Loca Luna,False,$$,3.5,121,AR,5 Mile Radius
401 E 3rd St,Irish,Pubs,,,Little Rock,8187.727736801229,Dugan's Pub,False,$$,3.5,127,AR,7.5 Mile Radius
3000 Kavanaugh Blvd,Mediterranean,Venezuelan,Cocktail Bars,,Little Rock,2975.805709625041,La Terraza Rum & Lounge,False,$$,4.0,55,AR,2.5 Mile Radius
3701 Old Cantrell Rd,American (New),Breakfast & Brunch,Bars,,Little Rock,4433.910300865619,Red Door,False,$$,3.5,113,AR,5 Mile Radius
610 Center St,Bars,Burgers,American (Traditional),,Little Rock,7582.417195614982,The New 610 Center,False,$$,4.5,27,AR,5 Mile Radius
2500 W 7th St,Bars,,,,Little Rock,5060.207661311982,White Water Tavern,False,$,4.0,34,AR,5 Mile Radius
207 N University Ave,Mexican,Bars,Venues & Event Spaces,,Little Rock,1652.6098086342733,Cantina Laredo,False,$$,3.5,85,AR,2.5 Mile Radius
1318 Main St,Bars,Pizza,Breakfast & Brunch,,Little Rock,7768.748991485401,Raduno,False,$$,3.5,76,AR,5 Mile Radius
311 E Capitol Ave,Bars,German,,,Little Rock,8088.480444728877,Fassler Hall Little Rock,False,$$,4.0,48,AR,7.5 Mile Radius
3610 Kavanaugh Blvd,American (New),Wine Bars,Seafood,,Little Rock,2813.6339927647496,So Restaurant-Bar,False,$$$,3.5,49,AR,2.5 Mile Radius
16103 Chenal Pkwy,Pizza,Bars,Sandwiches,,Little Rock,8348.45707561442,Mellow Mushroom,False,$$,3.0,100,AR,7.5 Mile Radius
11610 Pleasant Ridge Rd,Mexican,Bars,,,Little Rock,6813.517393200014,Santo Coyote,False,$$,3.5,50,AR,5 Mile Radius
10 Shackleford Dr,Sports Bars,American (Traditional),American (New),,Little Rock,3698.4317430200313,Twin Peaks,False,$$,3.0,108,AR,2.5 Mile Radius
