city - Original,City,State - Long,State,2010,2011,2012,2013,2014,2015,2016,2017
Grand Junction city,Grand Junction, Colorado,CO,59102,59710,59882,60013,59861,60588,61448,62475
Commerce City city,Commerce City, Colorado,CO,46180,47488,48511,49661,51413,53089,54497,55923
Milford city (balance),Milford, Connecticut,CT,51325,51438,51607,51775,52061,52235,52685,52970
Bridgeport city,Bridgeport, Connecticut,CT,144923,146363,147288,148168,148225,147890,147016,146579
New Haven city,New Haven, Connecticut,CT,129853,130982,131247,131181,130797,130616,130768,131014
Stamford city,Stamford, Connecticut,CT,122839,124182,125222,126708,128277,128794,129654,130824
Hartford city,Hartford, Connecticut,CT,125403,125572,125399,125420,124863,124510,123853,123400
Waterbury city,Waterbury, Connecticut,CT,110403,110207,110139,109980,109708,109190,108750,108629
Norwalk city,Norwalk, Connecticut,CT,86009,86759,87386,88012,88251,88550,88904,89005
Danbury city,Danbury, Connecticut,CT,81355,82222,82899,83852,83908,84500,85385,85246
New Britain city,New Britain, Connecticut,CT,73273,73348,73288,73218,73162,73322,72923,72710
Bristol city,Bristol, Connecticut,CT,60497,60638,60697,60683,60666,60599,60380,60223
Meriden city,Meriden, Connecticut,CT,60879,60792,60756,60649,60509,60207,59898,59927
West Haven city,West Haven, Connecticut,CT,55584,55563,55331,55240,55367,54967,54774,54843
Wilmington city,Wilmington, Delaware,DE,70753,70892,71189,71326,71393,71372,71244,71106
Washington city,Washington, District of Columbia,,605040,620336,635630,650114,660797,672736,684336,693972
Davie town,Davie, Florida,FL,92331,94512,95940,97847,99540,101654,103591,105149
Jupiter town,Jupiter, Florida,FL,55510,56264,57295,58625,60961,63037,64236,64976
Wellington village,Wellington, Florida,FL,56851,57535,58665,60407,61673,62802,64351,64848
Jacksonville city,Jacksonville, Florida,FL,823175,829685,837439,843383,853479,866856,880893,892062
Miami city,Miami, Florida,FL,400864,410932,416157,421149,431645,442277,456632,463347
Tampa city,Tampa, Florida,FL,336766,346495,348520,352387,358959,367668,376047,385430
Orlando city,Orlando, Florida,FL,239198,243505,249990,255317,262730,270778,277879,280257
St. Petersburg city,St. Petersburg, Florida,FL,245216,245877,246782,248661,252635,255668,259919,263255
Hialeah city,Hialeah, Florida,FL,225474,230548,233237,235359,236426,237920,238098,239673
Tallahassee city,Tallahassee, Florida,FL,181598,183143,186458,185780,187346,189003,189255,191049
Port St. Lucie city,Port St. Lucie, Florida,FL,164850,166319,168036,169643,172993,178081,183837,189344
Cape Coral city,Cape Coral, Florida,FL,154731,157319,160626,164444,168560,173683,178379,183365
Fort Lauderdale city,Fort Lauderdale, Florida,FL,166188,169133,171204,172699,175762,178035,179308,180072
Pembroke Pines city,Pembroke Pines, Florida,FL,155193,158255,160381,162386,164484,166272,168597,170712
Hollywood city,Hollywood, Florida,FL,141124,143583,145310,146463,147556,148950,152122,153627
Miramar city,Miramar, Florida,FL,122388,125182,128949,130463,134974,136996,139322,140328
Coral Springs city,Coral Springs, Florida,FL,122341,124627,126290,127483,128670,130024,131462,133037
Gainesville city,Gainesville, Florida,FL,124478,125470,125850,126238,127524,129368,131546,132249
Clearwater city,Clearwater, Florida,FL,108817,108973,109354,110128,111100,112962,114194,115513
Miami Gardens city,Miami Gardens, Florida,FL,107530,110021,111395,112297,112649,113494,113714,113750
Palm Bay city,Palm Bay, Florida,FL,103335,103343,104077,104618,105567,107541,109650,111657
Pompano Beach city,Pompano Beach, Florida,FL,100076,101803,103038,104411,105837,107320,109634,110473
West Palm Beach city,West Palm Beach, Florida,FL,100681,101380,102483,103428,104426,107021,108818,110222
Lakeland city,Lakeland, Florida,FL,97737,98922,99118,100468,102239,103806,106100,108054
Boca Raton city,Boca Raton, Florida,FL,85160,86472,87717,89810,91479,93746,96607,98150
Sunrise city,Sunrise, Florida,FL,84540,86323,88693,89934,90931,92232,93873,94323
Plantation city,Plantation, Florida,FL,85330,86905,88053,90248,91263,92237,92996,93909
Miami Beach city,Miami Beach, Florida,FL,88090,90026,91026,91712,91949,92518,92510,92307
Deltona city,Deltona, Florida,FL,85088,84974,85167,85634,86383,87852,89410,90746
Palm Coast city,Palm Coast, Florida,FL,75500,76654,77412,78481,80194,82159,84446,86516
Largo city,Largo, Florida,FL,79284,79389,79678,80383,80869,81977,84161,84754
Melbourne city,Melbourne, Florida,FL,76417,76602,76953,77516,78428,79524,80844,82011
Deerfield Beach city,Deerfield Beach, Florida,FL,75192,76542,77510,78174,78814,79610,80151,80571
Fort Myers city,Fort Myers, Florida,FL,62506,63820,65541,67861,70547,73545,76741,79943
Boynton Beach city,Boynton Beach, Florida,FL,68342,68843,70040,71335,73259,74144,75957,77702
Lauderhill city,Lauderhill, Florida,FL,67104,68290,69129,69697,70346,71162,71649,71970
Kissimmee city,Kissimmee, Florida,FL,59759,61400,63542,65070,66691,68744,69345,71104
Weston city,Weston, Florida,FL,65592,66867,67797,68480,69145,69931,70484,70944
Homestead city,Homestead, Florida,FL,60814,62648,63687,64859,66064,67112,68944,69907
Delray Beach city,Delray Beach, Florida,FL,60787,61491,62309,64256,65148,66381,67670,68749
Daytona Beach city,Daytona Beach, Florida,FL,61622,61715,62214,62989,63614,65038,67139,68055
North Port city,North Port, Florida,FL,57404,57751,58476,59199,60431,62362,64439,66300
Tamarac city,Tamarac, Florida,FL,60431,61538,62332,62884,63416,64203,65146,65669
Port Orange city,Port Orange, Florida,FL,56615,56717,56994,57540,59044,60236,61531,63203
North Miami city,North Miami, Florida,FL,59773,61062,61712,62166,62259,62512,62430,62225
Doral city,Doral, Florida,FL,45954,47525,48461,50713,54478,56461,58680,61130
Coconut Creek city,Coconut Creek, Florida,FL,53082,54239,55101,56935,58579,59303,59845,61010
Sanford city,Sanford, Florida,FL,53781,54196,54780,56152,57544,58191,58806,59317
Ocala city,Ocala, Florida,FL,56424,56570,56664,56694,57097,57670,58422,59110
Margate city,Margate, Florida,FL,53410,54379,55069,55549,56017,57119,58152,58430
Sarasota city,Sarasota, Florida,FL,52182,52490,52940,53152,54027,54966,56391,56994
Bradenton city,Bradenton, Florida,FL,49153,49478,50067,51044,52160,53735,54890,56508
Bonita Springs city,Bonita Springs, Florida,FL,44069,45032,46358,47692,49421,51885,54366,56088
Palm Beach Gardens city,Palm Beach Gardens, Florida,FL,48745,49293,50072,50987,52190,53252,54288,55036
Pinellas Park city,Pinellas Park, Florida,FL,49298,49712,50001,50350,51269,51893,52520,52854
Pensacola city,Pensacola, Florida,FL,52022,51892,52482,52385,52856,52869,52765,52590
Apopka city,Apopka, Florida,FL,41957,43310,44674,45832,47404,48665,49922,51564
St. Cloud city,St. Cloud, Florida,FL,37840,39335,41058,42406,44528,46621,48349,51282
Coral Gables city,Coral Gables, Florida,FL,46975,48083,49603,50366,50895,51092,51171,51095
Augusta-Richmond County consolidated government (balance),Augusta, Georgia,GA,196165,195682,196859,196435,196607,196930,197357,197166
Macon-Bibb County,Macon, Georgia,GA,155614,156009,156459,154869,154221,153857,153006,152663
Athens-Clarke County unified government (balance),Athens, Georgia,GA,116213,117163,118860,119804,119424,122557,123670,125691
Atlanta city,Atlanta, Georgia,GA,422849,431729,443008,447812,455589,463479,472967,486290
Columbus city,Columbus, Georgia,GA,191110,195332,199051,203274,200714,198882,196307,194058
Savannah city,Savannah, Georgia,GA,137519,140615,142573,142821,144277,145652,146264,146444
Sandy Springs city,Sandy Springs, Georgia,GA,94278,96799,99036,99496,101604,105049,105625,106739
Roswell city,Roswell, Georgia,GA,88811,91033,93368,93785,93832,94072,94601,94786
Johns Creek city,Johns Creek, Georgia,GA,77099,79328,81986,82563,82939,83187,83965,84350
Warner Robins city,Warner Robins, Georgia,GA,69402,70918,71937,72661,73334,73475,74377,74854
Albany city,Albany, Georgia,GA,77420,77889,77529,76390,75942,74929,73953,73179
Alpharetta city,Alpharetta, Georgia,GA,57701,59223,61680,62020,62840,63494,65451,65799
