City,Density,Population,square miles
"Pomona, California",6645,152494,23
"Pompano Beach, Florida",4558,109393,24
"Pontiac, Michigan",2989,59698,20
"Port Arthur, Texas",721,55427,77
"Port Orange, Florida",2292,61105,27
"Port St. Lucie, Florida",1625,185132,114
"Porterville, California",3349,58978,18
"Portland, Maine",3141,66937,21
"Portland, Oregon",4795,639863,133
"Portsmouth, Virginia",2831,95252,34
"Poway, California",1281,50077,39
"Providence, Rhode Island",9740,179219,18
"Provo, Utah",2805,116868,42
"Pueblo, Colorado",2056,110291,54
"Quincy, Massachusetts",5654,93688,17
"Racine, Wisconsin",5011,77571,15
"Raleigh, North Carolina",3211,458880,143
"Rancho Cordova, California",2158,72326,34
"Rancho Cucamonga, California",4430,176534,40
"Rapid City, South Dakota",1336,74048,55
"Reading, Pennsylvania",8864,87575,10
"Redding, California",1539,91808,60
"Redlands, California",1973,71288,36
"Redmond, Washington",3836,62458,16
"Redondo Beach, California",10946,67867,6
"Redwood City, California",4374,84950,19
"Reno, Nevada",2381,245255,103
"Renton, Washington",4366,100953,23
"Revere, Massachusetts",9342,53157,6
"Rialto, California",4623,103314,22
"Richardson, Texas",3969,113347,29
"Richland, Washington",1539,54989,36
"Richmond, California",3652,109813,30
"Richmond, Virginia",3731,223170,60
"Rio Rancho, New Mexico",929,96028,103
"Riverside, California",4002,324722,81
"Roanoke, Virginia",2342,99660,43
"Rochester Hills, Michigan",2237,73422,33
"Rochester, Minnesota",2088,114011,55
"Rochester, New York",5838,208880,36
"Rock Hill, South Carolina",2042,72937,36
"Rockford, Illinois",2417,147651,61
"Rocklin, California",3213,62787,20
"Rockville, Maryland",4955,66940,14
"Rocky Mount, North Carolina",1267,55466,44
"Rogers, Arkansas",1714,65021,38
"Rosemead, California",10562,54500,5
"Roseville, California",3663,132671,36
"Roswell, Georgia",2323,94598,41
"Round Rock, Texas",3544,120892,34
"Rowlett, Texas",3117,61999,20
"Royal Oak, Michigan",5009,59006,12
"Sacramento, California",5058,495234,98
"Salem, Oregon",3495,167419,48
"Salinas, California",6782,157218,23
"Salt Lake City, Utah",1744,193744,111
"Sammamish, Washington",3500,63773,18
"San Angelo, Texas",1771,100702,57
"San Antonio, Texas",3238,1492510,461
"San Bernardino, California",3653,216239,59
"San Buenaventura, California",5062,109592,22
"San Clemente, California",3491,65309,19
"San Diego, California",4326,1406630,325
"San Francisco, California",18581,870887,47
"San Jose, California",5808,1025350,177
"San Leandro, California",6781,90465,13
"San Marcos, California",3909,95261,24
"San Marcos, Texas",2051,61980,30
"San Mateo, California",8570,103959,12
"San Rafael, California",3579,58954,16
"San Ramon, California",4188,75639,18
"Sandy Springs, Georgia",2808,105703,38
"Sandy, Utah",4190,95836,23
"Sanford, Florida",2552,58605,23
"Santa Ana, California",12256,334217,27
"Santa Barbara, California",4722,91930,19
"Santa Clara, California",6841,125948,18
"Santa Clarita, California",3452,181972,53
"Santa Cruz, California",5060,64465,13
"Santa Fe, New Mexico",1824,83875,46
"Santa Maria, California",4670,106290,23
"Santa Monica, California",10996,92478,8
"Santa Rosa, California",4242,175155,41
"Santee, California",3561,57834,16
"Sarasota, Florida",3862,56610,15
"Savannah, Georgia",1423,146763,103
"Schaumburg, Illinois",3873,74446,19
"Schenectady, New York",6022,64913,11
"Scottsdale, Arizona",1341,246645,184
"Scranton, Pennsylvania",3054,77291,25
"Seattle, Washington",8391,704352,84
"Shawnee, Kansas",1558,65194,42
"Shoreline, Washington",4741,55333,12
"Shreveport, Louisiana",1850,194920,105
"Simi Valley, California",3045,126327,41
"Sioux City, Iowa",1445,82872,57
"Sioux Falls, South Dakota",2390,174360,73
"Skokie, Illinois",6389,64270,10
"Smyrna, Georgia",3691,56664,15
"Somerville, Massachusetts",19738,81322,4
"South Bend, Indiana",2454,101735,41
"South Gate, California",13196,95538,7
"South Jordan, Utah",3131,69034,22
"South San Francisco, California",7328,66980,9
"Southaven, Mississippi",1290,53214,41
"Southfield, Michigan",2783,73100,26
"Sparks, Nevada",2750,98345,36
"Spokane Valley, Washington",2551,96340,38
"Spokane, Washington",3645,215973,59
"Springdale, Arkansas",1879,78557,42
"Springfield, Illinois",1945,115715,59
"Springfield, Massachusetts",4834,154074,32
"Springfield, Missouri",2047,167319,82
"Springfield, Ohio",2336,59087,25
"Springfield, Oregon",3932,61893,16
"St. Charles, Missouri",2930,69293,24
"St. Clair Shores, Michigan",5144,59775,12
"St. Cloud, Minnesota",1689,67641,40
"St. George, Utah",1169,82318,70
"St. Joseph, Missouri",1738,76472,44
"St. Louis, Missouri",5030,311404,62
"St. Paul, Minnesota",5818,302398,52
"St. Peters, Missouri",2561,57289,22
"St. Petersburg, Florida",4227,260999,62
"Stamford, Connecticut",3430,129113,38
"Sterling Heights, Michigan",3628,132427,37
"Stockton, California",4979,307072,62
"Suffolk, Virginia",223,89273,400
"Sugar Land, Texas",2723,88177,32
"Sunnyvale, California",6947,152771,22
"Sunrise, Florida",5179,93734,18
"Surprise, Arizona",1255,132677,106
"Syracuse, New York",5726,143378,25
"Tacoma, Washington",4249,211277,50
"Tallahassee, Florida",1904,190894,100
"Tamarac, Florida",5611,65199,12
"Tampa, Florida",3326,377165,113
"Taunton, Massachusetts",1217,56843,47
"Taylor, Michigan",2592,61177,24
"Taylorsville, Utah",5570,60436,11
"Temecula, California",3750,113054,30
"Tempe, Arizona",4570,182498,40
"Temple, Texas",1067,73600,69
"Terre Haute, Indiana",1762,60852,35
"Thornton, Colorado",3924,136703,35
"Thousand Oaks, California",2342,128888,55
"Tigard, Oregon",4395,51902,12
"Tinley Park, Illinois",3548,56831,16
"Toledo, Ohio",3452,278508,81
"Topeka, Kansas",2107,126808,60
"Torrance, California",7187,147195,20
"Tracy, California",4058,89274,22
"Trenton, New Jersey",10988,84056,8
"Troy, Michigan",2499,83641,33
"Tucson, Arizona",2341,530706,227
"Tulare, California",2999,62779,21
"Tulsa, Oklahoma",2049,403090,197
"Turlock, California",4300,72796,17
"Tuscaloosa, Alabama",1653,99543,60
"Tustin, California",7256,80395,11
"Tyler, Texas",1946,104798,54
"Union City, California",3869,75322,19
"Union City, New Jersey",54138,69296,1
"Upland, California",4909,76684,16
"Honolulu, Hawaii",5813,351792,61
"Utica, New York",3619,60652,17
"Vacaville, California",3465,98303,28
"Valdosta, Georgia",1576,56474,36
"Vallejo, California",3955,121299,31
"Vancouver, Washington",3763,174826,46
"Victoria, Texas",1907,67670,35
"Victorville, California",1671,122265,73
"Vineland, New Jersey",885,60525,68
"Virginia Beach, Virginia",1818,452602,249
"Visalia, California",3616,131074,36
"Vista, California",5442,101659,19
"Waco, Texas",1511,134432,89
"Walnut Creek, California",3498,69122,20
"Waltham, Massachusetts",4949,63002,13
"Warner Robins, Georgia",2121,74388,35
"Warren, Michigan",3930,135125,34
"Warwick, Rhode Island",2328,81579,35
"Washington, District of Columbia",11158,681170,61
"Waterbury, Connecticut",3796,108272,29
"Waterloo, Iowa",1107,67934,61
"Watsonville, California",8041,53796,7
"Waukegan, Illinois",3725,88182,24
"Waukesha, Wisconsin",2917,72363,25
"Wellington, Florida",1423,63900,45
"West Allis, Wisconsin",5280,60087,11
"West Covina, California",6724,107847,16
"West Des Moines, Iowa",1673,64560,39
"West Haven, Connecticut",5071,54516,11
"West Jordan, Utah",3503,113699,32
